epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 2.15, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 3, 0
.01, 1.275, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 8, 0
.01, 0.6187499999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 14, 0
.01, 0.5093749999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 23, 0
.01, 0.45468749999999997, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 35, 0
.01, 0.42734375, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 2, 4, 0
.01, 0.441015625, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 41, 0
.01, 0.4341796875, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 2, 5, 0
.01, 0.43759765625, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 44, 0
.01, 0.435888671875, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 46, 0
.01, 0.4350341796875, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 2, 6, 0
.01, 0.43546142578125, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 2, 6, 0
.01, 0.435675048828125, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 2, 7, 0
.01, 0.4357818603515625, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 2, 7, 0
.01, 0.43583526611328127, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 2, 7, 0
.01, 0.43586196899414065, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 46, 0
.01, 0.43584861755371096, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 46, 0
.01, 0.4358419418334961, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 1, 46, 0
.01, 0.4358386039733887, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 2, 7, 0
.01, 0.4358402729034424, 1, 50, 1.0, 20.0, 0.050000000000000003, 23.0, 3, 7, 1
.01, 2.15, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 1, 3, 0
.01, 1.275, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 1, 8, 0
.01, 0.6187499999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 1, 16, 0
.01, 0.5093749999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 1, 34, 0
.01, 0.45468749999999997, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 2, 3, 0
.01, 0.4820312499999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 2, 5, 0
.01, 0.4957031249999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 1, 42, 0
.01, 0.4888671874999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 2, 8, 0
.01, 0.4922851562499999, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 1, 47, 0
.01, 0.4905761718749999, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 1, 53, 0
.01, 0.4897216796874999, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 2, 9, 0
.01, 0.4901489257812499, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 1, 58, 0
.01, 0.4899353027343749, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 2, 10, 0
.01, 0.4900421142578124, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 2, 11, 0
.01, 0.49009552001953116, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 1, 59, 0
.01, 0.4900688171386718, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 2, 12, 0
.01, 0.4900821685791015, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 1, 59, 0
.01, 0.49007549285888663, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 2, 12, 0
.01, 0.49007883071899405, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 2, 12, 0
.01, 0.49008049964904776, 1, 50, 2.0, 19.0, 0.10526315789473684, 23.0, 3, 12, 1
.01, 2.15, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 1, 8, 0
.01, 0.6187499999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 1, 22, 0
.01, 0.5093749999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 2, 4, 0
.01, 0.5640624999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 1, 40, 0
.01, 0.5367187499999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 2, 6, 0
.01, 0.5503906249999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 2, 9, 0
.01, 0.5572265624999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 1, 51, 0
.01, 0.5538085937499999, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 2, 13, 0
.01, 0.5555175781249999, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 2, 20, 0
.01, 0.5563720703124999, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 1, 57, 0
.01, 0.5559448242187499, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 2, 35, 0
.01, 0.5561584472656249, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 1, 60, 0
.01, 0.5560516357421874, 1, 50, 3.0, 18.0, 0.16666666666666666, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 4.0, 17.0, 0.23529411764705882, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 4.0, 17.0, 0.23529411764705882, 23.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 23.0, 1, 10, 0
.01, 0.6187499999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 23.0, 2, 12, 0
.01, 0.7281249999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 23.0, 1, 16, 0
.01, 0.6734374999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 23.0, 1, 24, 0
.01, 0.6460937499999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 23.0, 1, 32, 0
.01, 0.6324218749999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 23.0, 1, 41, 0
.01, 0.6255859374999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 5.0, 16.0, 0.3125, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 5.0, 16.0, 0.3125, 23.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 5.0, 16.0, 0.3125, 23.0, 1, 12, 0
.01, 0.6187499999999999, 1, 50, 5.0, 16.0, 0.3125, 23.0, 2, 4, 0
.01, 0.7281249999999999, 1, 50, 5.0, 16.0, 0.3125, 23.0, 1, 28, 0
.01, 0.6734374999999999, 1, 50, 5.0, 16.0, 0.3125, 23.0, 2, 9, 0
.01, 0.7007812499999999, 1, 50, 5.0, 16.0, 0.3125, 23.0, 1, 47, 0
.01, 0.6871093749999999, 1, 50, 5.0, 16.0, 0.3125, 23.0, 2, 13, 0
.01, 0.6939453124999999, 1, 50, 5.0, 16.0, 0.3125, 23.0, 2, 20, 0
.01, 0.6973632812499999, 1, 50, 5.0, 16.0, 0.3125, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 6.0, 15.0, 0.40000000000000002, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 6.0, 15.0, 0.40000000000000002, 23.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 23.0, 1, 19, 0
.01, 0.6187499999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 23.0, 2, 4, 0
.01, 0.7281249999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 23.0, 2, 8, 0
.01, 0.7828124999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 23.0, 1, 38, 0
.01, 0.7554687499999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 23.0, 2, 12, 0
.01, 0.7691406249999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 23.0, 2, 24, 0
.01, 0.7759765624999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 23.0, 1, 48, 0
.01, 0.7725585937499999, 1, 50, 6.0, 15.0, 0.40000000000000002, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 7.0, 14.0, 0.5, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 7.0, 14.0, 0.5, 23.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 7.0, 14.0, 0.5, 23.0, 2, 16, 0
.01, 1.05625, 1, 50, 7.0, 14.0, 0.5, 23.0, 1, 8, 0
.01, 0.9468749999999999, 1, 50, 7.0, 14.0, 0.5, 23.0, 1, 14, 0
.01, 0.8921874999999999, 1, 50, 7.0, 14.0, 0.5, 23.0, 1, 23, 0
.01, 0.8648437499999999, 1, 50, 7.0, 14.0, 0.5, 23.0, 1, 35, 0
.01, 0.8511718749999999, 1, 50, 7.0, 14.0, 0.5, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 1, 5, 0
